7/07/2024 10:34:32 a. m.	Este registro contiene información acerca de la operación de importación de esquema en el proyecto 'AIRIS.DocBD.DataBase' del equipo 'DESKTOP-IEOP1NV' por el usuario 'USUARIO'.
7/07/2024 10:34:33 a. m.	Se inició la importación del esquema de la base de datos.
7/07/2024 10:34:39 a. m.	Recopilando credenciales de la base de datos
7/07/2024 10:34:39 a. m.	Recopilando opciones de base de datos
7/07/2024 10:34:39 a. m.	Recopilando la opción de configuración de ámbito de la base de datos genérica
7/07/2024 10:34:39 a. m.	Recopilando usuarios
7/07/2024 10:34:39 a. m.	Recopilando roles
7/07/2024 10:34:39 a. m.	Recopilando roles de aplicación
7/07/2024 10:34:39 a. m.	Recopilando pertenencias a roles
7/07/2024 10:34:39 a. m.	Recopilando grupos de archivos
7/07/2024 10:34:39 a. m.	Recopilando catálogos de texto completo
7/07/2024 10:34:39 a. m.	Recopilando ensamblados
7/07/2024 10:34:39 a. m.	Recopilando certificados
7/07/2024 10:34:39 a. m.	Recopilando claves asimétricas
7/07/2024 10:34:39 a. m.	Recopilando claves simétricas
7/07/2024 10:34:39 a. m.	Recopilando claves simétricas cifradas
7/07/2024 10:34:39 a. m.	Recopilando esquemas
7/07/2024 10:34:39 a. m.	Recopilando colecciones de esquemas XML
7/07/2024 10:34:39 a. m.	Recopilando tipos de datos definidos por el usuario
7/07/2024 10:34:39 a. m.	Recopilando tipos definidos por el usuario
7/07/2024 10:34:39 a. m.	Recopilando tipos de tabla
7/07/2024 10:34:39 a. m.	Recopilando claves únicas para tipos de tabla
7/07/2024 10:34:39 a. m.	Recopilando claves principales para tipos de tabla
7/07/2024 10:34:39 a. m.	Recopilando índices para tipos de tablas
7/07/2024 10:34:39 a. m.	Recopilando restricciones CHECK para tipos de tabla
7/07/2024 10:34:39 a. m.	Recopilando restricciones DEFAULT para tipos de tabla
7/07/2024 10:34:39 a. m.	Recopilando funciones de partición
7/07/2024 10:34:39 a. m.	Recopilando esquemas de partición
7/07/2024 10:34:39 a. m.	Recopilando funciones
7/07/2024 10:34:39 a. m.	Recopilando funciones cifradas
7/07/2024 10:34:39 a. m.	Recopilando agregados
7/07/2024 10:34:39 a. m.	Recopilando procedimientos
7/07/2024 10:34:39 a. m.	Recopilando procedimientos cifrados
7/07/2024 10:34:39 a. m.	Recopilando tablas
7/07/2024 10:34:40 a. m.	Recopilando claves principales
7/07/2024 10:34:40 a. m.	Recopilando restricciones UNIQUE
7/07/2024 10:34:40 a. m.	Recopilando claves externas
7/07/2024 10:34:40 a. m.	Recopilando restricciones DEFAULT
7/07/2024 10:34:40 a. m.	Recopilando restricciones CHECK
7/07/2024 10:34:40 a. m.	Recopilando vistas
7/07/2024 10:34:40 a. m.	Recopilando vistas cifradas
7/07/2024 10:34:40 a. m.	Recopilando índices
7/07/2024 10:34:40 a. m.	Recopilando estadísticas
7/07/2024 10:34:40 a. m.	Recopilando listas de palabras irrelevantes de índices de texto completo
7/07/2024 10:34:40 a. m.	Recopilando listas de propiedades de búsqueda
7/07/2024 10:34:40 a. m.	Recopilando propiedades de búsqueda
7/07/2024 10:34:40 a. m.	Recopilando índices de texto completo
7/07/2024 10:34:40 a. m.	Recopilando índices de almacenamiento de columnas
7/07/2024 10:34:40 a. m.	Recopilando índices espaciales
7/07/2024 10:34:40 a. m.	Recopilando índices XML
7/07/2024 10:34:40 a. m.	Recopilando índices XML selectivos
7/07/2024 10:34:40 a. m.	Recopilando desencadenadores cifrados
7/07/2024 10:34:40 a. m.	Recopilando desencadenadores
7/07/2024 10:34:40 a. m.	Recopilando DDL triggers cifrados y de CLR
7/07/2024 10:34:40 a. m.	Recopilando DDL triggers
7/07/2024 10:34:40 a. m.	Creación de la restricción perimetral en curso
7/07/2024 10:34:40 a. m.	Recopilando sinónimos
7/07/2024 10:34:40 a. m.	Recopilando valores predeterminados
7/07/2024 10:34:40 a. m.	Recopilando enlaces UDDT de restricción de datos
7/07/2024 10:34:40 a. m.	Recopilando reglas
7/07/2024 10:34:40 a. m.	Recopilando enlaces UDDT de restricción de datos
7/07/2024 10:34:40 a. m.	Recopilando tipos de mensaje
